year,word_count,20-25,25-30,30-35,35-40,40-45,total_count,20-25 percent,25-30 percent,30-35 percent,35-40 percent,40-45 percent
1980,196258,15,20,0,2,0,1072,0.013992537313432836,0.018656716417910446,0.0,0.0018656716417910447,0.0
1981,305559,23,28,4,1,0,1769,0.013001695873374788,0.01582815149802148,0.0022611644997173543,0.0005652911249293386,0.0
1982,302584,18,32,3,3,2,1732,0.010392609699769052,0.018475750577367205,0.0017321016166281756,0.0017321016166281756,0.0011547344110854503
1983,330967,32,40,3,0,1,1839,0.017400761283306143,0.021750951604132682,0.0016313213703099511,0.0,0.000543773790103317
1984,300711,28,22,4,0,1,1736,0.016129032258064516,0.012672811059907835,0.002304147465437788,0.0,0.000576036866359447
1985,287823,23,18,6,0,2,1685,0.013649851632047478,0.010682492581602374,0.0035608308605341245,0.0,0.0011869436201780415
1986,328093,30,25,14,0,0,1898,0.015806111696522657,0.013171759747102213,0.007376185458377239,0.0,0.0
1987,423507,20,23,5,0,0,1828,0.010940919037199124,0.012582056892778994,0.002735229759299781,0.0,0.0
1988,398306,12,11,2,0,0,1711,0.0070134424313267095,0.006428988895382817,0.0011689070718877848,0.0,0.0
1989,422242,17,34,10,5,1,1820,0.00934065934065934,0.01868131868131868,0.005494505494505495,0.0027472527472527475,0.0005494505494505495
1990,388948,76,283,88,26,7,1842,0.04125950054288816,0.15363735070575463,0.04777415852334419,0.014115092290988056,0.003800217155266015
1991,259421,216,1006,388,96,39,1709,0.12638970157987128,0.5886483323581042,0.22703335283791692,0.056173200702165006,0.022820362785254535
1992,308313,142,634,208,50,13,1663,0.08538785327720987,0.38123872519542995,0.12507516536380037,0.03006614552014432,0.007817197835237523
1993,371828,117,505,168,41,23,1786,0.06550951847704367,0.28275475923852184,0.0940649496080627,0.02295632698768197,0.012877939529675251
1994,379226,127,721,301,73,19,2186,0.05809698078682525,0.3298261665141812,0.13769441903019214,0.03339432753888381,0.00869167429094236
1995,378592,144,710,267,96,27,2032,0.07086614173228346,0.3494094488188976,0.13139763779527558,0.047244094488188976,0.01328740157480315
1996,331971,63,570,286,64,37,1707,0.03690685413005272,0.3339191564147627,0.1675454012888108,0.03749267721148213,0.021675454012888107
1997,362597,56,579,299,100,25,1779,0.03147835862844295,0.3254637436762226,0.16807195053400786,0.056211354693648116,0.014052838673412029
1998,368068,66,600,336,89,37,1644,0.040145985401459854,0.36496350364963503,0.20437956204379562,0.054136253041362534,0.022506082725060828
1999,383490,53,485,320,106,35,1612,0.03287841191066997,0.3008684863523573,0.19851116625310175,0.06575682382133995,0.021712158808933003
2000,416494,47,470,312,90,26,1488,0.031586021505376344,0.31586021505376344,0.20967741935483872,0.06048387096774194,0.01747311827956989
2001,384185,50,408,338,101,33,1399,0.035739814152966405,0.2916368834882059,0.2416011436740529,0.07219442458899214,0.023588277340957826
2002,440981,51,447,365,129,43,1530,0.03333333333333333,0.29215686274509806,0.238562091503268,0.08431372549019608,0.028104575163398694
2003,450436,53,396,381,135,40,1549,0.0342156229825694,0.25564880568108456,0.2459651387992253,0.08715300193673338,0.025823111684958037
2004,425587,43,387,326,112,43,1480,0.029054054054054056,0.2614864864864865,0.22027027027027027,0.07567567567567568,0.029054054054054056
2005,488221,50,390,311,119,45,1404,0.03561253561253561,0.2777777777777778,0.2215099715099715,0.08475783475783476,0.03205128205128205
2006,459416,53,409,265,105,33,1382,0.03835021707670044,0.2959479015918958,0.19175108538350216,0.07597684515195369,0.023878437047756874
2007,496319,47,476,280,130,40,1579,0.029765674477517417,0.30145661811272956,0.1773274224192527,0.08233058898036733,0.0253324889170361
2008,489951,46,439,247,118,52,1492,0.030831099195710455,0.29423592493297585,0.16554959785522788,0.07908847184986595,0.03485254691689008
2009,484058,51,414,243,69,37,1379,0.03698332124728064,0.30021754894851344,0.17621464829586658,0.05003625815808557,0.026831036983321246
2010,546648,40,428,300,98,39,1430,0.027972027972027972,0.2993006993006993,0.2097902097902098,0.06853146853146853,0.02727272727272727
2011,664413,58,503,322,102,51,1452,0.03994490358126722,0.3464187327823691,0.22176308539944903,0.07024793388429752,0.03512396694214876
2012,605398,29,358,182,51,26,1579,0.01836605446485117,0.22672577580747308,0.11526282457251424,0.03229892336922103,0.016466117796073463
2013,636963,1,5,2,0,0,1482,0.0006747638326585695,0.0033738191632928477,0.001349527665317139,0.0,0.0
2014,93982,0,0,1,0,0,154,0.0,0.0,0.006493506493506494,0.0,0.0
